   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  43  T 0   1.430e+08  -2e-04  0.97  2.0e-01  9.4e-06  2.0e-01  6.6e-01  2.7e-01  3.7e-03  2.7e-01
  44  T 0   1.430e+08  -3e-04  0.97  2.0e-01  9.4e-06  1.3e-01  6.1e-01  2.6e-01  3.6e-03  2.7e-01
  45  T 0   1.429e+08  -2e-04  0.97  2.0e-01  9.4e-06  1.6e-01  5.4e-01  2.6e-01  3.7e-03  2.7e-01
  46  T 0   1.429e+08  -1e-04  0.97  2.0e-01  9.7e-06  1.1e-01  3.9e-01  2.9e-01  3.7e-03  2.9e-01
  47  T 0   1.429e+08  -7e-05  0.97  2.0e-01  8.1e-06  1.1e-01  4.0e-01  2.6e-01  3.6e-03  2.7e-01
  48  T 0   1.428e+08  -6e-05  0.97  2.0e-01  4.8e-06  1.0e-01  3.7e-01  2.6e-01  3.7e-03  2.6e-01
  49  T 0   1.428e+08  -6e-05  0.97  2.0e-01  4.8e-06  1.1e-01  3.8e-01  2.6e-01  3.5e-03  2.6e-01
  50  T 0   1.428e+08  -7e-05  0.97  2.0e-01  5.1e-06  1.1e-01  4.0e-01  2.7e-01  3.6e-03  2.7e-01
  51  T 0   1.427e+08  -6e-05  0.97  2.0e-01  5.2e-06  1.2e-01  4.2e-01  2.8e-01  3.5e-03  2.8e-01
  52  T 0   1.427e+08  -6e-05  0.97  2.0e-01  5.2e-06  1.4e-01  4.4e-01  2.6e-01  3.5e-03  2.7e-01
  53  T 0   1.427e+08  -6e-05  0.98  2.0e-01  5.3e-06  1.6e-01  4.5e-01  2.6e-01  3.6e-03  2.7e-01
  54  T 0   1.427e+08  -5e-05  0.98  2.0e-01  2.9e-06  1.7e-01  4.6e-01  2.6e-01  3.7e-03  2.7e-01
  55  T 0   1.426e+08  -4e-05  0.98  2.0e-01  3.0e-06  1.2e-01  4.1e-01  2.7e-01  3.5e-03  2.7e-01
  56  T 0   1.426e+08  -4e-05  0.98  2.0e-01  3.1e-06  1.4e-01  4.3e-01  2.7e-01  3.5e-03  2.7e-01
  57  T 0   1.426e+08  -4e-05  0.98  2.0e-01  3.5e-06  1.5e-01  4.6e-01  3.6e-01  2.5e-03  3.7e-01
  58  T 0   1.426e+08  -4e-05  0.98  2.0e-01  3.2e-06  1.8e-01  4.9e-01  2.9e-01  3.6e-03  3.0e-01
  59  T 0   1.426e+08  -4e-05  0.98  2.0e-01  3.6e-06  1.6e-01  5.2e-01  2.7e-01  4.9e-03  2.8e-01
  60  T 0   1.425e+08  -5e-05  0.98  2.0e-01  3.2e-06  1.5e-01  5.1e-01  2.7e-01  3.5e-03  2.8e-01
  61  T 0   1.425e+08  -7e-05  0.98  2.0e-01  3.7e-06  1.8e-01  5.8e-01  2.6e-01  3.5e-03  2.7e-01
  62  T 0   1.425e+08  -6e-05  0.98  2.0e-01  3.4e-06  2.0e-01  5.1e-01  3.3e-01  4.0e-03  3.4e-01
  63  T 0   1.425e+08  -3e-05  0.98  2.0e-01  3.4e-06  2.0e-01  4.5e-01  2.8e-01  3.6e-03  2.9e-01
  64  T 0   1.425e+08  -3e-05  0.98  2.0e-01  3.0e-06  1.4e-01  3.4e-01  2.8e-01  3.6e-03  2.8e-01
  65  T 0   1.425e+08  -3e-05  0.98  2.0e-01  2.7e-06  1.6e-01  3.5e-01  2.8e-01  3.6e-03  2.9e-01
  66  T 0   1.424e+08  -3e-05  0.98  2.0e-01  3.0e-06  1.7e-01  3.6e-01  2.7e-01  3.8e-03  2.7e-01
  67  T 0   1.424e+08  -2e-05  0.98  2.0e-01  3.4e-06  1.4e-01  3.2e-01  2.8e-01  3.6e-03  2.8e-01
  68  T 0   1.424e+08  -2e-05  0.98  2.0e-01  3.6e-06  8.3e-02  2.8e-01  2.8e-01  3.6e-03  2.9e-01
  69  T 0   1.424e+08  -2e-05  0.98  2.0e-01  3.7e-06  8.8e-02  2.9e-01  2.8e-01  3.5e-03  2.8e-01
  70  T 0   1.424e+08  -2e-05  0.98  2.0e-01  3.1e-06  9.0e-02  3.1e-01  2.7e-01  3.5e-03  2.7e-01
  71  T 0   1.424e+08  -2e-05  0.98  2.0e-01  2.4e-06  9.9e-02  3.2e-01  2.8e-01  3.6e-03  2.8e-01
  72  T 0   1.424e+08  -2e-05  0.98  2.0e-01  2.4e-06  1.1e-01  3.6e-01  2.7e-01  3.5e-03  2.8e-01
  73  T 0   1.424e+08  -3e-05  0.98  2.0e-01  2.3e-06  1.3e-01  4.0e-01  3.2e-01  3.5e-03  3.2e-01
  74  T 0   1.424e+08  -3e-05  0.98  2.0e-01  2.3e-06  1.5e-01  4.4e-01  2.8e-01  3.6e-03  2.8e-01
  75  T 0   1.423e+08  -3e-05  0.98  2.0e-01  2.5e-06  1.8e-01  4.7e-01  2.7e-01  3.6e-03  2.7e-01
  76  T 0   1.423e+08  -4e-05  0.98  2.0e-01  2.7e-06  1.9e-01  5.1e-01  2.7e-01  3.6e-03  2.7e-01
  77  T 0   1.423e+08  -4e-05  0.98  2.0e-01  3.0e-06  1.7e-01  5.6e-01  2.6e-01  3.7e-03  2.7e-01
  78  T 0   1.423e+08  -5e-05  0.98  2.0e-01  4.1e-06  2.0e-01  6.4e-01  2.7e-01  3.5e-03  2.8e-01
  79  F 0   1.423e+08  -1e-04  0.98  2.0e-01  7.0e-06  2.0e-01  8.3e-01  3.3e-01  3.6e-03  3.4e-01
  80  F 0   1.424e+08  -3e-04  0.97  2.0e-01  1.6e-05  2.0e-01  1.2e+00  2.7e-01  3.5e-03  2.7e-01
  81  F 0   1.424e+08  -5e-04  0.97  2.0e-01  1.9e-05  2.0e-01  1.4e+00  2.7e-01  3.5e-03  2.7e-01
  82  F 0   1.425e+08  -6e-04  0.97  2.0e-01  3.1e-05  2.0e-01  1.3e+00  2.8e-01  3.7e-03  2.8e-01
  83  F 0   1.425e+08  -6e-04  0.97  2.0e-01  2.4e-05  2.0e-01  1.3e+00  2.8e-01  3.6e-03  2.8e-01
  84  F 0   1.424e+08  -6e-04  0.97  2.0e-01  2.4e-05  2.0e-01  1.1e+00  2.6e-01  3.7e-03  2.7e-01
  85  F 0   1.423e+08  -5e-04  0.97  2.0e-01  1.7e-05  2.0e-01  9.5e-01  2.7e-01  4.0e-03  2.7e-01
  86  T 0   1.422e+08  -3e-04  0.97  2.0e-01  1.1e-05  2.0e-01  6.6e-01  2.7e-01  3.8e-03  2.7e-01
  87  T 0   1.422e+08  -7e-05  0.97  2.0e-01  8.1e-06  1.1e-01  3.2e-01  2.7e-01  3.7e-03  2.7e-01
  88  T 0   1.422e+08  -1e-05  0.97  2.0e-01  7.1e-06  1.0e-01  2.3e-01  2.7e-01  3.7e-03  2.8e-01
  89  T 0   1.422e+08  -2e-05  0.98  2.0e-01  4.0e-06  9.6e-02  2.5e-01  2.7e-01  3.7e-03  2.7e-01
  90  T 0   1.422e+08  -2e-05  0.98  2.0e-01  3.7e-06  9.2e-02  2.6e-01  2.7e-01  3.8e-03  2.7e-01
  91  T 0   1.422e+08  -2e-05  0.98  2.0e-01  3.7e-06  8.4e-02  2.4e-01  2.6e-01  3.7e-03  2.7e-01
  92  T 0   1.421e+08  -2e-05  0.98  2.0e-01  3.9e-06  9.7e-02  2.5e-01  2.7e-01  3.5e-03  2.7e-01
  93  T 0   1.421e+08  -2e-05  0.98  2.0e-01  4.0e-06  9.8e-02  2.6e-01  2.7e-01  3.5e-03  2.7e-01
  94  T 0   1.421e+08  -2e-05  0.98  2.0e-01  4.1e-06  9.5e-02  2.8e-01  3.0e-01  3.5e-03  3.0e-01
  95  T 0   1.421e+08  -2e-05  0.98  2.0e-01  4.3e-06  9.4e-02  3.0e-01  2.7e-01  3.6e-03  2.7e-01
  96  T 0   1.421e+08  -2e-05  0.98  2.0e-01  4.4e-06  9.8e-02  3.2e-01  3.5e-01  3.7e-03  3.6e-01
