   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+08   0e+00  0.00  2.0e-01  3.3e+03  1.0e+00  1.0e+00  4.4e-01  0.0e+00  0.0e+00
   1  T 0   1.411e+08  -1e-01  0.00  2.0e-01  3.8e-02  2.0e-01  5.2e+00  2.4e-01  1.0e-02  2.5e-01
   2  F 0   7.369e+08  -5e-01  0.39  2.0e-01  5.8e-01  2.0e-01  9.8e+00  2.0e-01  2.2e-03  2.1e-01
   3  T 0   5.299e+07  -3e-01  0.37  2.0e-01  3.2e-03  2.0e-01  6.3e+00  2.0e-01  4.4e-03  2.0e-01
   4  T 0   1.565e+07  -6e-01  0.50  2.0e-01  2.1e-03  2.0e-01  7.2e+00  2.0e-01  4.5e-03  2.1e-01
   5  T 0   9.055e+06  -6e-01  0.57  2.0e-01  1.4e-04  2.0e-01  4.4e+00  2.0e-01  2.3e-03  2.0e-01
   6  T 0   7.146e+06  -6e-01  0.60  2.0e-01  1.0e-04  2.0e-01  3.0e+00  2.0e-01  2.0e-03  2.0e-01
   7  T 0   6.090e+06  -6e-01  0.64  2.0e-01  9.0e-05  2.0e-01  2.1e+00  2.0e-01  2.0e-03  2.0e-01
   8  T 0   5.431e+06  -6e-01  0.66  2.0e-01  1.4e-04  1.6e-01  1.8e+00  2.3e-01  1.9e-03  2.3e-01
   9  T 0   4.901e+06  -6e-01  0.70  2.0e-01  2.3e-04  1.5e-01  1.4e+00  2.0e-01  2.0e-03  2.0e-01
  10  T 0   4.520e+06  -5e-01  0.72  2.0e-01  7.0e-04  1.6e-01  1.4e+00  2.2e-01  2.0e-03  2.2e-01
  11  T 0   4.252e+06  -5e-01  0.74  2.0e-01  4.6e-05  2.0e-01  1.4e+00  2.0e-01  1.9e-03  2.0e-01
  12  T 0   3.954e+06  -4e-01  0.77  2.0e-01  7.0e-05  2.0e-01  1.5e+00  2.0e-01  2.1e-03  2.0e-01
  13  T 0   3.693e+06  -4e-01  0.78  2.0e-01  6.2e-05  2.0e-01  1.5e+00  2.3e-01  1.9e-03  2.3e-01
  14  T 0   3.444e+06  -3e-01  0.81  2.0e-01  8.0e-05  2.0e-01  1.6e+00  2.1e-01  2.0e-03  2.1e-01
  15  T 0   3.212e+06  -3e-01  0.83  2.0e-01  3.8e-05  2.0e-01  1.5e+00  2.6e-01  1.9e-03  2.6e-01
  16  T 0   3.024e+06  -2e-01  0.86  2.0e-01  5.9e-05  1.9e-01  1.4e+00  2.1e-01  2.0e-03  2.1e-01
  17  T 0   2.872e+06  -2e-01  0.87  2.0e-01  6.5e-05  2.0e-01  1.4e+00  2.0e-01  2.1e-03  2.1e-01
  18  T 0   2.754e+06  -1e-01  0.89  2.0e-01  7.2e-05  2.0e-01  1.4e+00  2.0e-01  1.9e-03  2.1e-01
  19  T 0   2.672e+06  -6e-02  0.89  2.0e-01  8.6e-05  2.0e-01  1.6e+00  2.1e-01  1.9e-03  2.1e-01
  20  F 0   2.673e+06  -5e-02  0.90  2.0e-01  7.8e-05  2.0e-01  1.5e+00  2.0e-01  2.0e-03  2.0e-01
  21  F 0   2.859e+06  -1e-02  0.88  2.0e-01  1.4e-04  2.0e-01  1.9e+00  2.0e-01  3.5e-03  2.0e-01
  22  F 0   2.825e+06  -6e-02  0.89  2.0e-01  1.1e-04  2.0e-01  2.4e+00  2.0e-01  2.4e-03  2.0e-01
  23  F 0   2.822e+06  -2e-02  0.86  2.0e-01  1.3e-04  2.0e-01  2.1e+00  2.1e-01  3.4e-03  2.1e-01
  24  T 0   2.592e+06  -5e-02  0.89  2.0e-01  5.7e-05  2.0e-01  1.5e+00  2.0e-01  2.6e-03  2.0e-01
  25  T 0   2.492e+06  -2e-02  0.88  2.0e-01  5.0e-05  1.9e-01  9.7e-01  2.0e-01  1.9e-03  2.0e-01
  26  T 0   2.456e+06  -1e-02  0.90  2.0e-01  8.5e-05  1.5e-01  4.4e-01  2.0e-01  2.1e-03  2.1e-01
  27  T 0   2.433e+06  -7e-03  0.91  2.0e-01  4.9e-05  1.5e-01  3.6e-01  2.0e-01  1.9e-03  2.1e-01
  28  T 0   2.417e+06  -1e-03  0.91  2.0e-01  6.5e-05  1.2e-01  2.9e-01  2.1e-01  2.6e-03  2.1e-01
  29  T 0   2.407e+06  -5e-04  0.92  2.0e-01  8.6e-05  1.1e-01  2.6e-01  2.0e-01  3.4e-03  2.0e-01
  30  T 0   2.398e+06  -5e-04  0.92  2.0e-01  1.2e-04  9.5e-02  2.4e-01  2.0e-01  3.0e-03  2.0e-01
  31  T 0   2.388e+06  -5e-04  0.93  2.0e-01  1.6e-04  1.1e-01  2.8e-01  2.0e-01  2.7e-03  2.0e-01
  32  T 0   2.379e+06  -4e-04  0.93  2.0e-01  4.2e-05  1.2e-01  2.9e-01  2.1e-01  3.0e-03  2.1e-01
