   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00
   1  T 0   1.791e+00   0e+00  0.00  1.0e-01  5.0e-01  1.0e-01  6.0e+00
   2  T 0   1.193e+00   0e+00  0.00  1.0e-01  2.3e-01  1.0e-01  6.0e+00
   3  T 0   8.580e-01   0e+00  0.00  1.0e-01  1.2e-01  1.0e-01  6.0e+00
   4  T 0   6.008e-01   0e+00  0.07  1.0e-01  1.8e-03  1.0e-01  5.2e+00
   5  T 0   4.635e-01   0e+00  0.06  1.0e-01  2.1e-03  1.0e-01  4.5e+00
   6  T 0   3.168e-01   0e+00  0.51  1.0e-01  7.9e-04  1.0e-01  4.4e+00
   7  T 0   3.042e-01   0e+00  0.49  1.0e-01  7.9e-04  1.0e-01  1.8e+00
   8  T 0   2.901e-01   0e+00  0.49  1.0e-01  7.7e-04  1.0e-01  1.7e+00
   9  T 0   2.746e-01   0e+00  0.49  1.0e-01  7.5e-04  8.1e-02  1.8e+00
  10  T 0   2.571e-01   0e+00  0.50  1.0e-01  7.3e-04  8.9e-02  1.9e+00
  11  T 0   2.398e-01   0e+00  0.55  9.7e-02  7.2e-04  9.7e-02  1.7e+00
  12  T 0   2.216e-01   0e+00  0.56  1.0e-01  6.8e-04  1.0e-01  1.7e+00
  13  T 0   2.020e-01   0e+00  0.56  1.0e-01  6.7e-04  1.0e-01  1.8e+00
  14  T 0   1.807e-01   0e+00  0.57  1.0e-01  6.3e-04  1.0e-01  1.9e+00
  15  T 0   1.637e-01   0e+00  0.70  1.0e-01  6.1e-04  1.0e-01  1.7e+00
  16  T 0   1.535e-01   0e+00  0.72  1.0e-01  6.4e-04  1.0e-01  1.5e+00
  17  T 0   1.456e-01   0e+00  0.74  1.0e-01  6.9e-04  1.0e-01  1.4e+00
  18  T 0   1.379e-01   0e+00  0.76  1.0e-01  7.2e-04  1.0e-01  1.2e+00
