   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
  61  T 0   4.832e-02   0e+00  0.96  1.0e-01  8.3e-05  8.3e-02  4.8e-01
  62  T 0   4.824e-02   0e+00  0.96  1.0e-01  8.3e-05  9.2e-02  5.1e-01
  63  T 0   4.817e-02   0e+00  0.97  1.0e-01  8.3e-05  9.2e-02  5.2e-01
  64  T 0   4.812e-02   0e+00  0.97  1.0e-01  8.2e-05  6.1e-02  3.6e-01
  65  T 0   4.808e-02   0e+00  0.97  1.0e-01  8.2e-05  6.1e-02  3.7e-01
  66  T 0   4.803e-02   0e+00  0.97  7.4e-02  8.2e-05  6.7e-02  4.1e-01
  67  T 0   4.798e-02   0e+00  0.97  7.4e-02  8.3e-05  7.4e-02  4.3e-01
  68  T 0   4.793e-02   0e+00  0.97  8.1e-02  8.3e-05  8.1e-02  4.5e-01
  69  T 0   4.787e-02   0e+00  0.97  8.9e-02  8.3e-05  8.9e-02  4.9e-01
  70  T 0   4.781e-02   0e+00  0.97  9.8e-02  8.3e-05  8.9e-02  5.2e-01
  71  T 0   4.775e-02   0e+00  0.96  1.0e-01  1.0e-04  8.9e-02  5.6e-01
  72  T 0   4.772e-02   0e+00  0.97  1.0e-01  1.0e-04  9.8e-02  3.4e-01
  73  T 0   4.770e-02   0e+00  0.96  1.0e-01  1.0e-04  6.7e-02  3.1e-01
  74  T 0   4.767e-02   0e+00  0.96  1.0e-01  1.0e-04  7.2e-02  3.1e-01
  75  T 0   4.765e-02   0e+00  0.96  7.9e-02  1.0e-04  7.9e-02  3.3e-01
  76  T 0   4.763e-02   0e+00  0.96  8.7e-02  1.0e-04  8.7e-02  3.4e-01
  77  T 0   4.760e-02   0e+00  0.96  9.6e-02  1.0e-04  8.7e-02  3.5e-01
  78  T 0   4.758e-02   0e+00  0.96  1.0e-01  1.0e-04  8.7e-02  3.6e-01
  79  T 0   4.755e-02   0e+00  0.96  1.0e-01  1.0e-04  8.7e-02  3.6e-01
  80  T 0   4.753e-02   0e+00  0.96  1.0e-01  1.0e-04  7.5e-02  2.6e-01
  81  T 0   4.752e-02   0e+00  0.96  1.0e-01  1.0e-04  5.8e-02  2.3e-01
  82  T 0   4.750e-02   0e+00  0.95  5.8e-02  1.0e-04  5.8e-02  2.2e-01
  83  T 0   4.748e-02   0e+00  0.95  6.4e-02  1.0e-04  6.4e-02  2.4e-01
  84  T 0   4.746e-02   0e+00  0.95  7.1e-02  1.0e-04  7.1e-02  2.5e-01
  85  T 0   4.743e-02   0e+00  0.95  7.8e-02  1.0e-04  7.8e-02  2.6e-01
  86  T 0   4.741e-02   0e+00  0.95  8.6e-02  1.0e-04  8.6e-02  2.7e-01
