   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   1.560e+00   0e+00  0.00  2.0e+00  2.9e+05  1.0e+00  1.0e+00
   1  T 0   1.266e+00   4e-01  0.00  2.0e+00  1.3e-01  2.5e+00  4.1e+00
   2  F 0   1.251e+00   4e-01  0.00  2.0e+00  9.2e-02  1.8e+00  2.9e+00
   3  F 0   1.259e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
   4  F 0   1.250e+00   4e-01  0.00  2.0e+00  9.0e-02  1.8e+00  2.9e+00
   5  F 0   1.258e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
   6  F 0   1.250e+00   4e-01  0.00  2.0e+00  9.0e-02  1.8e+00  2.9e+00
   7  F 0   1.258e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
   8  F 0   1.250e+00   4e-01  0.00  2.0e+00  9.0e-02  1.8e+00  2.9e+00
   9  F 0   1.258e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
  10  F 0   1.250e+00   4e-01  0.00  2.0e+00  9.0e-02  1.8e+00  2.9e+00
  11  F 0   1.258e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
  12  F 0   1.250e+00   4e-01  0.00  2.0e+00  9.0e-02  1.8e+00  2.9e+00
  13  F 0   1.258e+00   4e-01  0.00  2.0e+00  1.2e-01  1.8e+00  2.9e+00
Total number of system evaluations: 14
