   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  38  T 0   1.679e+08  -9e-05  0.93  1.0e-01  4.0e-03  3.4e-03  8.9e-03  2.7e-01  1.5e-03  2.7e-01
  39  T 0   1.676e+08  -1e-04  0.93  1.0e-01  3.0e-03  1.5e-02  3.3e-02  2.7e-01  1.6e-03  2.7e-01
  40  T 0   1.673e+08   4e-06  0.93  1.0e-01  4.0e-03  2.4e-02  4.1e-02  2.8e-01  2.2e-03  2.8e-01
  41  F 0   1.673e+08   4e-06  0.93  1.0e-01  4.0e-03  0.0e+00  0.0e+00  2.7e-01  3.1e-03  2.7e-01
  41  F 1   1.673e+08   4e-06  0.93  1.0e-01  4.0e-03  0.0e+00  0.0e+00  2.7e-01  2.4e-03  2.7e-01
  41  T 2   1.658e+08  -1e-05  0.95  1.0e-01  8.5e-04  1.0e-01  1.8e+00  2.7e-01  2.1e-03  2.7e-01
  42  F 0   1.658e+08  -1e-05  0.95  1.0e-01  8.5e-04  0.0e+00  0.0e+00  2.7e-01  2.5e-03  2.7e-01
  42  T 1   1.656e+08  -9e-07  0.94  1.0e-01  3.4e-04  1.0e-01  4.6e-01  2.7e-01  2.2e-03  2.7e-01
  43  T 0   1.647e+08  -6e-06  0.94  1.0e-01  2.3e-04  9.7e-02  4.6e-01  2.7e-01  2.5e-03  2.7e-01
  44  F 0   1.647e+08  -6e-06  0.94  1.0e-01  2.3e-04  0.0e+00  0.0e+00  2.7e-01  2.4e-03  2.8e-01
  44  T 1   1.646e+08  -2e-07  0.94  1.0e-01  3.9e-04  8.0e-02  2.2e-01  3.2e-01  2.1e-03  3.2e-01
  45  T 0   1.642e+08   2e-08  0.95  1.0e-01  2.0e-03  1.0e-01  8.0e-01  2.7e-01  2.5e-03  2.8e-01
  46  F 0   1.642e+08   2e-08  0.95  1.0e-01  2.0e-03  0.0e+00  0.0e+00  2.8e-01  2.8e-03  2.8e-01
  46  T 1   1.641e+08  -1e-06  0.93  1.0e-01  2.5e-04  8.5e-02  2.6e-01  2.8e-01  2.4e-03  2.8e-01
  47  T 0   1.639e+08  -3e-08  0.95  1.0e-01  2.3e-04  4.6e-02  2.0e-01  2.7e-01  2.8e-03  2.7e-01
