   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  43  T 0   2.432e+06  -7e-06  0.98  1.0e-01  1.4e-04  1.0e-01  3.2e-01  2.0e-01  2.9e-03  2.0e-01
  44  T 0   2.431e+06  -6e-05  0.98  1.0e-01  1.4e-04  1.0e-01  3.0e-01  2.0e-01  2.3e-03  2.0e-01
  45  T 0   2.430e+06  -1e-05  0.98  1.0e-01  1.3e-04  1.0e-01  2.9e-01  2.0e-01  2.9e-03  2.0e-01
  46  T 0   2.429e+06  -3e-14  0.98  1.0e-01  5.6e-05  1.0e-01  2.5e-01  2.0e-01  2.5e-03  2.0e-01
  47  T 0   2.428e+06   1e-05  0.98  1.0e-01  8.2e-05  1.0e-01  2.1e-01  2.0e-01  1.8e-03  2.0e-01
  48  T 0   2.426e+06   2e-04  0.98  1.0e-01  1.3e-04  8.4e-02  1.8e-01  2.0e-01  1.6e-03  2.0e-01
  49  T 0   2.425e+06  -8e-13  0.98  1.0e-01  4.4e-05  1.0e-01  1.9e-01  2.0e-01  2.1e-03  2.0e-01
  50  T 0   2.424e+06  -1e-05  0.98  1.0e-01  4.9e-05  1.0e-01  1.9e-01  2.0e-01  1.8e-03  2.0e-01
  51  T 0   2.423e+06   3e-05  0.98  1.0e-01  5.4e-05  9.5e-02  2.0e-01  2.1e-01  1.8e-03  2.1e-01
  52  T 0   2.423e+06  -3e-05  0.98  1.0e-01  4.0e-05  1.0e-01  2.1e-01  2.1e-01  2.9e-03  2.1e-01
  53  T 0   2.422e+06   2e-04  0.98  1.0e-01  6.7e-05  1.0e-01  2.0e-01  2.0e-01  1.8e-03  2.1e-01
  54  T 0   2.421e+06  -3e-05  0.98  1.0e-01  1.0e-04  1.0e-01  2.0e-01  2.0e-01  1.9e-03  2.0e-01
  55  T 0   2.420e+06  -1e-06  0.98  9.4e-02  7.5e-05  9.4e-02  2.0e-01  2.0e-01  3.1e-03  2.0e-01
  56  T 0   2.420e+06  -4e-04  0.98  1.0e-01  1.0e-04  1.0e-01  2.0e-01  2.1e-01  1.6e-03  2.1e-01
  57  T 0   2.419e+06  -3e-05  0.98  1.0e-01  1.1e-04  1.0e-01  2.1e-01  2.0e-01  1.6e-03  2.1e-01
  58  T 0   2.418e+06   5e-05  0.98  1.0e-01  3.1e-05  1.0e-01  2.0e-01  2.1e-01  2.3e-03  2.1e-01
  59  T 0   2.417e+06   5e-05  0.98  1.0e-01  3.9e-05  1.0e-01  2.1e-01  2.0e-01  2.0e-03  2.1e-01
  60  T 0   2.417e+06   1e-05  0.99  1.0e-01  1.4e-05  9.4e-02  2.0e-01  2.0e-01  2.5e-03  2.0e-01
  61  T 0   2.416e+06  -2e-05  0.99  1.0e-01  1.7e-05  1.0e-01  2.0e-01  2.1e-01  2.0e-03  2.1e-01
  62  T 0   2.416e+06  -9e-06  0.99  1.0e-01  2.4e-05  9.3e-02  1.8e-01  2.0e-01  2.2e-03  2.1e-01
  63  T 0   2.415e+06  -6e-05  0.99  1.0e-01  5.4e-05  1.0e-01  2.2e-01  2.1e-01  1.6e-03  2.1e-01
  64  T 0   2.413e+06  -4e-07  0.99  1.0e-01  8.4e-05  1.0e-01  1.7e-01  2.0e-01  1.8e-03  2.0e-01
  65  T 0   2.413e+06   4e-05  0.99  1.0e-01  7.0e-05  1.0e-01  1.6e-01  2.1e-01  1.6e-03  2.1e-01
  66  T 0   2.412e+06  -1e-05  0.99  1.0e-01  9.2e-05  1.0e-01  1.7e-01  2.0e-01  2.2e-03  2.1e-01
  67  T 0   2.412e+06  -2e-05  0.99  1.0e-01  1.0e-04  6.9e-02  1.4e-01  2.1e-01  2.4e-03  2.1e-01
  68  T 0   2.411e+06   2e-04  0.99  8.3e-02  1.2e-04  8.3e-02  1.4e-01  2.3e-01  1.7e-03  2.3e-01
  69  T 0   2.410e+06   4e-06  0.99  9.9e-02  1.4e-04  6.4e-02  1.4e-01  2.2e-01  2.0e-03  2.3e-01
  70  T 0   2.409e+06  -2e-06  0.99  7.7e-02  9.1e-05  7.0e-02  1.5e-01  2.3e-01  1.2e-03  2.3e-01
  71  T 0   2.408e+06  -6e-05  0.99  9.2e-02  3.2e-05  8.3e-02  1.3e-01  2.1e-01  1.9e-03  2.1e-01
  72  T 0   2.408e+06  -1e-04  0.99  6.5e-02  3.1e-05  6.5e-02  1.3e-01  2.1e-01  2.3e-03  2.1e-01
  73  T 0   2.407e+06  -3e-06  0.99  6.9e-02  5.0e-05  4.1e-02  8.8e-02  2.1e-01  2.0e-03  2.1e-01
  74  T 0   2.407e+06  -2e-06  0.99  8.2e-02  1.8e-05  6.4e-02  9.3e-02  2.0e-01  1.8e-03  2.1e-01
  75  T 0   2.407e+06   3e-05  0.99  5.9e-02  1.9e-05  5.9e-02  1.2e-01  2.1e-01  1.7e-03  2.1e-01
  76  F 0   2.407e+06  -4e-05  0.99  4.1e-02  2.0e-05  4.1e-02  1.0e-01  2.0e-01  2.3e-03  2.0e-01
  77  F 0   2.407e+06  -2e-04  0.99  3.2e-02  2.1e-05  2.9e-02  8.1e-02  2.1e-01  2.0e-03  2.1e-01
  78  T 0   2.407e+06  -1e-05  0.99  3.8e-02  2.3e-05  3.8e-02  8.7e-02  2.2e-01  2.1e-03  2.2e-01
  79  T 0   2.407e+06  -1e-05  0.99  4.6e-02  2.4e-05  4.2e-02  8.3e-02  2.1e-01  2.0e-03  2.2e-01
  80  T 0   2.407e+06   2e-05  0.99  5.0e-02  2.4e-05  3.2e-02  7.7e-02  2.1e-01  2.0e-03  2.1e-01
  81  F 0   2.407e+06  -3e-05  0.99  6.0e-02  2.4e-05  6.0e-02  9.0e-02  2.4e-01  2.1e-03  2.5e-01
  82  T 0   2.406e+06   5e-07  0.99  4.2e-02  2.4e-05  4.2e-02  7.3e-02  2.1e-01  2.2e-03  2.1e-01
  83  T 0   2.406e+06  -4e-05  0.99  4.9e-02  2.4e-05  4.9e-02  8.2e-02  2.0e-01  1.7e-03  2.0e-01
  84  T 0   2.406e+06   5e-05  0.99  5.9e-02  2.2e-05  5.9e-02  9.2e-02  2.0e-01  2.2e-03  2.1e-01
  85  T 0   2.406e+06   6e-06  0.99  7.1e-02  1.8e-05  7.1e-02  1.0e-01  2.0e-01  1.6e-03  2.0e-01
  86  T 0   2.406e+06   7e-05  0.99  8.5e-02  5.0e-07  8.5e-02  1.0e-01  2.3e-01  1.6e-03  2.3e-01
  87  T 0   2.406e+06   6e-05  0.99  1.0e-01  8.8e-07  1.0e-01  1.2e-01  2.8e-01  1.6e-03  2.9e-01
  88  F 0   2.406e+06   6e-06  0.99  1.0e-01  4.8e-07  1.0e-01  1.2e-01  2.2e-01  1.8e-03  2.2e-01
  89  F 0   2.406e+06   3e-05  0.99  1.0e-01  6.0e-07  1.0e-01  1.2e-01  2.2e-01  2.2e-03  2.2e-01
  90  F 0   2.406e+06   2e-05  0.99  1.0e-01  5.6e-07  1.0e-01  1.2e-01  2.1e-01  1.6e-03  2.1e-01
  91  F 0   2.406e+06   2e-06  0.99  1.0e-01  5.8e-07  6.4e-02  8.8e-02  2.0e-01  1.7e-03  2.0e-01
  92  T 0   2.406e+06   5e-05  0.99  1.0e-01  6.9e-07  2.4e-02  4.6e-02  2.1e-01  1.8e-03  2.1e-01
  93  F 0   2.406e+06  -7e-05  0.99  7.0e-02  5.9e-07  2.1e-02  4.7e-02  2.0e-01  1.6e-03  2.1e-01
  94  T 0   2.406e+06   1e-04  0.99  4.9e-02  8.5e-07  1.5e-02  3.8e-02  2.1e-01  1.9e-03  2.1e-01
