   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.743e+00   2e+01  0.98  1.0e-01  4.0e+10  1.0e+00  1.0e+00  2.4e-02  0.0e+00  0.0e+00
   1  T 0   2.400e+00   1e+01  0.98  1.0e-01  9.9e-01  1.0e+00  1.2e+01  3.7e-02  5.4e-02  9.0e-02
   2  T 0   2.499e+00   6e+00  0.98  1.0e-01  9.9e-01  1.0e-01  1.2e-01  2.4e-02  5.8e-02  8.2e-02
   3  T 0   1.068e+00   2e-01  0.98  1.0e-01  1.0e+00  1.0e+00  1.6e+01  2.5e-02  5.7e-02  8.2e-02
   4  T 0   9.632e-01   4e-02  0.98  1.0e-01  1.0e+00  1.0e+00  3.3e+00  3.3e-02  5.4e-02  8.8e-02
   5  T 0   8.538e-01   3e-03  0.98  1.0e-01  1.0e+00  1.0e+00  2.3e+00  2.5e-02  7.0e-02  9.5e-02
   6  T 0   7.531e-01   2e-01  0.98  1.0e-01  1.0e+00  1.0e+00  2.9e+00  2.6e-02  5.3e-02  8.0e-02
   7  F 0   7.025e-01   1e+00  0.98  1.0e-01  1.0e+00  1.0e+00  2.3e+00  3.0e-02  9.0e-02  1.2e-01
   8  T 0   6.975e-01   1e-02  0.98  1.0e-01  1.0e+00  2.0e-01  3.0e-01  2.4e-02  5.7e-02  8.1e-02
   9  F 0   6.966e-01   9e-01  0.98  1.0e-01  1.0e+00  1.0e+00  2.5e+00  3.5e-02  1.9e-01  2.2e-01
  10  F 0   6.952e-01   2e-01  0.98  1.0e-01  1.0e+00  2.0e-01  3.2e-01  2.7e-02  5.8e-02  8.5e-02
  11  F 0   6.944e-01   5e-02  0.98  1.0e-01  1.0e+00  2.0e-01  2.9e-01  2.7e-02  7.6e-02  1.0e-01
  12  T 0   6.941e-01   1e-02  0.98  1.0e-01  1.0e+00  2.0e-01  3.1e-01  3.2e-02  8.6e-02  1.2e-01
  13  T 0   6.941e-01   1e-03  0.98  1.0e-01  1.0e+00  2.0e-01  3.2e-01  2.6e-02  9.1e-02  1.2e-01
  14  F 0   6.941e-01   1e-03  0.98  1.0e-01  1.0e+00  2.0e-01  3.2e-01  2.5e-02  5.5e-02  8.0e-02
  15  T 0   6.941e-01   6e-04  0.98  1.0e-01  1.0e+00  2.0e-01  3.2e-01  2.5e-02  5.1e-02  7.6e-02
  16  T 0   6.941e-01   8e-05  0.98  1.0e-01  1.0e+00  2.0e-01  2.2e-01  4.5e-02  1.0e-01  1.5e-01
  17  T 0   6.941e-01   1e-05  0.98  1.0e-01  1.0e+00  2.0e-01  2.2e-01  2.5e-02  6.0e-02  8.5e-02
  18  T 0   6.941e-01   4e-06  0.98  1.0e-01  1.0e+00  2.0e-01  2.2e-01  2.4e-02  5.8e-02  8.2e-02
  19  T 0   6.941e-01   4e-07  0.98  1.0e-01  1.0e+00  5.4e-08  5.4e-08  2.5e-02  5.3e-02  7.7e-02
Termination on Convergence criteria
