   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.573e+00   2e+01  0.98  1.0e-01  4.0e+10  1.0e+00  1.0e+00  2.4e-02  0.0e+00  0.0e+00
   1  T 0   2.435e+00   2e+00  0.98  1.0e-01  1.0e+00  1.0e+00  1.2e+01  2.4e-02  3.0e-02  5.4e-02
   2  T 0   1.023e+00   1e+00  0.98  1.0e-01  1.0e+00  1.0e+00  1.6e+01  2.5e-02  3.3e-02  5.7e-02
   3  T 0   9.050e-01   8e-03  0.98  1.0e-01  1.0e+00  1.0e+00  2.3e+00  2.5e-02  2.9e-02  5.4e-02
   4  T 0   7.810e-01   1e-01  0.98  1.0e-01  1.0e+00  1.0e+00  3.2e+00  2.6e-02  4.5e-02  7.1e-02
   5  T 0   6.582e-01   5e-02  0.98  1.0e-01  1.0e+00  1.0e+00  2.2e+00  2.4e-02  2.6e-02  5.1e-02
   6  T 0   6.485e-01   8e-03  0.98  1.0e-01  1.0e+00  1.0e+00  1.0e+00  2.5e-02  5.8e-02  8.3e-02
   7  T 0   6.481e-01   2e-03  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.7e-02  7.8e-02  1.0e-01
   8  F 0   6.481e-01   5e-03  0.98  1.0e-01  1.0e+00  2.0e-01  2.4e-01  2.5e-02  5.8e-02  8.3e-02
   9  T 0   6.481e-01   1e-03  0.98  1.0e-01  1.0e+00  2.0e-01  2.3e-01  2.4e-02  5.2e-02  7.6e-02
  10  T 0   6.481e-01   2e-05  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.5e-02  4.9e-02  7.4e-02
  11  F 0   6.481e-01   2e-04  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.8e-02  8.3e-02  1.1e-01
  12  F 0   6.481e-01   5e-05  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.6e-02  7.8e-02  1.0e-01
  13  T 0   6.481e-01   2e-06  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.5e-02  1.5e-01  1.7e-01
  14  T 0   6.481e-01   3e-07  0.98  1.0e-01  1.0e+00  2.0e-01  3.3e-01  2.6e-02  4.4e-02  7.0e-02
  15  F 0   6.481e-01   3e-07  0.98  1.0e-01  1.0e+00  0.0e+00  0.0e+00  2.5e-02  1.3e-01  1.5e-01
Termination on Convergence criteria
