   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.068e+00   4e-01  0.98  1.0e-01  2.0e+10  1.0e+00  1.0e+00  2.2e-02  0.0e+00  0.0e+00
   1  T 0   2.392e-01   0e+00  0.99  1.0e-01  1.4e-01  1.0e+00  1.3e+01  2.5e-02  2.0e-02  4.6e-02
   2  T 0   1.893e-01   5e-03  0.99  1.0e-01  1.2e-01  1.0e+00  2.5e+00  2.2e-02  3.2e-02  5.4e-02
   3  T 0   1.770e-01   9e-03  0.98  1.0e-01  1.2e-01  1.0e+00  1.1e+00  2.2e-02  3.7e-02  5.9e-02
   4  T 0   1.653e-01   0e+00  0.99  1.0e-01  1.2e-01  1.0e+00  1.1e+00  2.2e-02  4.8e-02  7.0e-02
   5  T 0   1.632e-01   7e-04  0.99  1.0e-01  1.2e-01  2.0e-01  2.4e-01  2.2e-02  3.8e-02  6.0e-02
   6  F 0   1.631e-01   8e-04  0.99  1.0e-01  1.2e-01  2.0e-01  3.1e-01  2.2e-02  2.6e-02  4.8e-02
   7  T 0   1.631e-01   4e-04  0.99  1.0e-01  1.2e-01  2.0e-01  3.3e-01  2.2e-02  2.8e-02  5.0e-02
   8  F 0   1.631e-01   2e-05  0.99  1.0e-01  1.2e-01  2.0e-01  2.3e-01  2.2e-02  3.4e-02  5.7e-02
   9  T 0   1.631e-01   2e-06  0.99  1.0e-01  1.2e-01  2.0e-01  2.3e-01  2.2e-02  2.8e-02  5.0e-02
  10  F 0   1.631e-01   8e-07  0.99  1.0e-01  1.2e-01  2.0e-01  3.3e-01  2.2e-02  2.9e-02  5.2e-02
  11  F 0   1.631e-01   8e-07  0.99  1.0e-01  1.2e-01  0.0e+00  0.0e+00  2.7e-02  2.8e-02  5.5e-02
Termination on Convergence criteria
