   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.128e+00   4e-01  0.98  1.0e-01  2.0e+10  1.0e+00  1.0e+00  2.2e-02  0.0e+00  0.0e+00
   1  T 0   1.078e-01   4e-03  0.99  1.0e-01  7.2e-02  1.0e+00  1.3e+01  2.2e-02  3.3e-02  5.5e-02
   2  T 0   9.819e-02   4e-03  0.99  1.0e-01  7.1e-02  1.0e+00  1.0e+00  2.2e-02  3.8e-02  6.1e-02
   3  T 0   9.615e-02   3e-03  0.99  1.0e-01  7.1e-02  2.0e-01  2.2e-01  2.7e-02  5.8e-02  8.6e-02
   4  T 0   9.615e-02   9e-05  0.99  1.0e-01  7.1e-02  2.0e-01  2.2e-01  2.3e-02  3.4e-02  5.7e-02
   5  T 0   9.615e-02   2e-05  0.99  1.0e-01  7.1e-02  2.0e-01  2.2e-01  3.0e-02  7.6e-02  1.1e-01
   6  F 0   9.615e-02   3e-05  0.99  1.0e-01  7.1e-02  2.0e-01  2.2e-01  2.3e-02  3.9e-02  6.1e-02
   7  T 0   9.615e-02   6e-07  0.99  1.0e-01  7.1e-02  2.0e-01  2.2e-01  4.0e-02  9.4e-02  1.3e-01
   8  F 0   9.615e-02   6e-07  0.99  1.0e-01  7.1e-02  0.0e+00  0.0e+00  2.3e-02  5.3e-02  7.5e-02
Termination on Convergence criteria
