   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   6.051e-01   3e+01  0.98  1.0e-01  2.0e+10  1.0e+00  1.0e+00  2.3e-02  0.0e+00  0.0e+00
   1  T 0   1.156e+00   2e+01  0.98  1.0e-01  9.9e-01  1.0e+00  1.2e+01  2.2e-02  2.1e-02  4.3e-02
   2  T 0   1.255e+00   1e+01  0.98  1.0e-01  9.9e-01  1.0e-01  1.0e-01  2.4e-02  2.0e-02  4.5e-02
   3  T 0   1.354e+00   8e+00  0.98  1.0e-01  9.9e-01  1.0e-01  1.0e-01  2.4e-02  3.6e-02  6.0e-02
   4  T 0   1.453e+00   2e+00  0.98  1.0e-01  9.9e-01  1.0e-01  1.0e-01  2.3e-02  2.4e-02  4.7e-02
   5  T 0   1.813e-01   1e-01  0.98  1.0e-01  1.5e-01  1.0e+00  1.6e+01  2.9e-02  4.2e-02  7.1e-02
   6  F 0   1.522e-01   1e+00  0.98  1.0e-01  1.3e-01  1.0e+00  3.8e+00  2.2e-02  3.0e-02  5.2e-02
   7  T 0   1.520e-01   5e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.3e-01  2.2e-02  3.7e-02  5.9e-02
   8  F 0   1.517e-01   6e-02  0.98  1.0e-01  1.3e-01  2.0e-01  3.0e-01  2.3e-02  5.1e-02  7.4e-02
   9  F 0   1.517e-01   4e-02  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.8e-02  9.5e-02  1.3e-01
  10  F 0   1.517e-01   3e-02  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  4.0e-02  1.2e-01  1.6e-01
  11  T 0   1.518e-01   1e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  2.3e-02  9.4e-02  1.2e-01
  12  F 0   1.517e-01   8e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  2.2e-02  1.1e-01  1.4e-01
  13  T 0   1.517e-01   4e-04  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  4.2e-02  1.3e-01  1.8e-01
  14  F 0   1.517e-01   1e-02  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.4e-02  1.2e-01  1.5e-01
  15  F 0   1.517e-01   6e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.0e-02  1.2e-01  1.5e-01
  16  F 0   1.517e-01   4e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  2.4e-02  8.8e-02  1.1e-01
  17  F 0   1.517e-01   4e-03  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  4.8e-02  1.2e-01  1.7e-01
  18  T 0   1.517e-01   1e-04  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.6e-02  1.3e-01  1.7e-01
  19  F 0   1.517e-01   3e-04  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.8e-02  1.4e-01  1.8e-01
  20  T 0   1.517e-01   8e-05  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  2.3e-02  1.4e-01  1.6e-01
  21  T 0   1.517e-01   4e-05  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  2.2e-02  1.5e-01  1.7e-01
  22  T 0   1.517e-01   2e-05  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.7e-02  1.2e-01  1.5e-01
  23  F 0   1.517e-01   2e-05  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.1e-02  1.3e-01  1.6e-01
  24  F 0   1.517e-01   5e-04  0.98  1.0e-01  1.3e-01  2.0e-01  3.2e-01  3.1e-02  1.6e-01  1.9e-01
  25  T 0   1.517e-01   0e+00  0.98  1.0e-01  1.3e-01  7.2e-06  7.2e-06  4.1e-02  1.6e-01  2.0e-01
Termination on Convergence criteria
