   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  39  F 0   1.708e+08   9e-07  0.93  7.0e-02  1.1e-03  0.0e+00  0.0e+00  2.0e-01  2.1e-03  2.0e-01
  39  T 1   1.702e+08  -2e-06  0.93  8.4e-02  5.3e-04  7.0e-02  8.5e-01  2.4e-01  1.6e-03  2.4e-01
  40  T 0   1.695e+08   8e-07  0.94  1.0e-01  6.4e-04  8.4e-02  8.9e-01  2.1e-01  2.3e-03  2.2e-01
  41  T 0   1.689e+08   5e-07  0.94  1.0e-01  6.5e-04  1.0e-01  9.5e-01  2.1e-01  2.4e-03  2.1e-01
  42  T 0   1.686e+08  -2e-06  0.95  1.0e-01  6.0e-04  1.0e-01  8.5e-01  2.4e-01  2.1e-03  2.4e-01
  43  T 0   1.680e+08  -3e-07  0.95  1.0e-01  7.3e-04  1.0e-01  8.6e-01  2.6e-01  2.2e-03  2.6e-01
  44  T 0   1.675e+08   1e-06  0.95  1.0e-01  6.9e-04  1.0e-01  8.1e-01  2.0e-01  1.9e-03  2.1e-01
  45  T 0   1.671e+08   2e-06  0.95  1.0e-01  7.3e-04  1.0e-01  8.3e-01  2.1e-01  2.2e-03  2.1e-01
  46  T 0   1.668e+08  -3e-07  0.95  1.0e-01  6.8e-04  1.0e-01  8.1e-01  2.1e-01  2.2e-03  2.2e-01
  47  T 0   1.662e+08   8e-06  0.95  1.0e-01  9.1e-04  1.0e-01  8.6e-01  2.5e-01  2.2e-03  2.5e-01
  48  T 0   1.659e+08  -4e-07  0.96  1.0e-01  1.1e-03  1.0e-01  8.0e-01  2.4e-01  2.0e-03  2.4e-01
  49  T 0   1.655e+08   9e-07  0.96  1.0e-01  1.4e-03  1.0e-01  8.2e-01  2.4e-01  2.0e-03  2.5e-01
  50  T 0   1.654e+08  -8e-06  0.96  1.0e-01  1.3e-03  1.0e-01  8.6e-01  2.1e-01  1.9e-03  2.2e-01
  51  T 0   1.649e+08   3e-07  0.96  1.0e-01  1.4e-03  1.0e-01  9.3e-01  2.1e-01  2.1e-03  2.2e-01
  52  T 0   1.644e+08   4e-06  0.96  1.0e-01  8.4e-04  1.0e-01  9.2e-01  2.1e-01  2.0e-03  2.1e-01
  53  T 0   1.639e+08  -3e-06  0.96  1.0e-01  1.1e-03  1.0e-01  9.3e-01  2.1e-01  2.0e-03  2.1e-01
  54  T 0   1.634e+08   7e-08  0.96  1.0e-01  2.0e-03  1.0e-01  9.2e-01  2.1e-01  2.1e-03  2.1e-01
  55  T 0   1.630e+08   9e-06  0.96  1.0e-01  8.2e-04  1.0e-01  9.1e-01  2.0e-01  1.8e-03  2.0e-01
  56  T 0   1.629e+08  -1e-05  0.96  1.0e-01  4.5e-04  1.0e-01  9.4e-01  2.0e-01  1.9e-03  2.0e-01
  57  T 0   1.623e+08  -2e-06  0.97  1.0e-01  1.1e-03  1.0e-01  9.1e-01  2.0e-01  2.1e-03  2.0e-01
  58  T 0   1.620e+08  -5e-06  0.97  1.0e-01  8.5e-04  1.0e-01  8.5e-01  2.0e-01  2.0e-03  2.0e-01
  59  T 0   1.617e+08   7e-06  0.97  1.0e-01  2.7e-04  1.0e-01  7.6e-01  2.3e-01  1.8e-03  2.4e-01
  60  T 0   1.615e+08   3e-07  0.97  1.0e-01  4.4e-04  1.0e-01  6.8e-01  2.0e-01  2.1e-03  2.0e-01
  61  T 0   1.614e+08   9e-06  0.97  1.0e-01  2.8e-04  1.0e-01  6.4e-01  2.0e-01  1.8e-03  2.0e-01
  62  T 0   1.613e+08  -5e-06  0.98  1.0e-01  3.0e-04  1.0e-01  6.1e-01  2.0e-01  1.8e-03  2.0e-01
  63  T 0   1.612e+08   3e-06  0.98  1.0e-01  2.3e-04  1.0e-01  5.9e-01  2.6e-01  1.4e-03  2.6e-01
  64  T 0   1.611e+08   4e-06  0.98  1.0e-01  2.6e-04  1.0e-01  5.9e-01  2.4e-01  1.4e-03  2.4e-01
  65  T 0   1.610e+08  -2e-05  0.98  1.0e-01  4.2e-04  1.0e-01  5.9e-01  2.1e-01  1.6e-03  2.1e-01
  66  T 0   1.609e+08  -4e-06  0.98  1.0e-01  3.8e-04  1.0e-01  5.9e-01  2.3e-01  1.9e-03  2.3e-01
  67  T 0   1.608e+08  -2e-07  0.98  1.0e-01  5.6e-04  1.0e-01  6.0e-01  2.3e-01  1.9e-03  2.3e-01
  68  F 0   1.608e+08  -2e-07  0.98  7.0e-02  5.6e-04  0.0e+00  0.0e+00  2.3e-01  2.1e-03  2.3e-01
  68  T 1   1.608e+08  -9e-07  0.98  8.4e-02  1.6e-04  7.0e-02  5.6e-01  2.0e-01  1.6e-03  2.0e-01
  69  T 0   1.608e+08   7e-07  0.98  1.0e-01  3.8e-04  8.4e-02  7.2e-01  2.1e-01  1.9e-03  2.1e-01
  70  T 0   1.606e+08   2e-06  0.98  1.0e-01  1.3e-04  1.0e-01  8.4e-01  2.1e-01  2.2e-03  2.2e-01
  71  T 0   1.606e+08  -2e-07  0.98  1.0e-01  2.0e-04  1.0e-01  6.9e-01  2.0e-01  2.1e-03  2.0e-01
  72  T 0   1.605e+08   3e-07  0.98  1.0e-01  2.8e-04  1.0e-01  6.7e-01  2.5e-01  2.3e-03  2.5e-01
  73  T 0   1.604e+08  -1e-06  0.98  1.0e-01  3.9e-05  1.0e-01  6.0e-01  2.1e-01  1.9e-03  2.1e-01
  74  T 0   1.603e+08  -5e-06  0.98  1.0e-01  4.3e-05  1.0e-01  6.2e-01  2.1e-01  1.9e-03  2.2e-01
  75  T 0   1.603e+08  -9e-06  0.98  1.0e-01  3.4e-05  1.0e-01  6.2e-01  2.2e-01  1.6e-03  2.2e-01
  76  T 0   1.602e+08  -2e-07  0.98  1.0e-01  3.7e-05  1.0e-01  6.5e-01  2.2e-01  1.8e-03  2.3e-01
  77  T 0   1.602e+08   2e-05  0.98  1.0e-01  2.9e-05  1.0e-01  6.6e-01  2.5e-01  1.7e-03  2.5e-01
  78  T 0   1.601e+08   2e-06  0.98  1.0e-01  4.6e-05  1.0e-01  7.1e-01  2.0e-01  1.5e-03  2.1e-01
  79  T 0   1.601e+08   9e-06  0.98  1.0e-01  2.8e-05  1.0e-01  6.7e-01  2.2e-01  1.8e-03  2.2e-01
  80  T 0   1.600e+08  -2e-06  0.98  1.0e-01  6.2e-05  1.0e-01  7.5e-01  2.1e-01  2.2e-03  2.2e-01
  81  T 0   1.600e+08  -5e-07  0.98  1.0e-01  3.5e-05  1.0e-01  6.6e-01  2.1e-01  2.2e-03  2.1e-01
  82  T 0   1.600e+08   6e-06  0.98  1.0e-01  4.8e-05  1.0e-01  6.6e-01  2.1e-01  2.1e-03  2.1e-01
  83  T 0   1.599e+08  -2e-07  0.98  1.0e-01  3.7e-05  1.0e-01  5.9e-01  2.0e-01  1.9e-03  2.0e-01
  84  T 0   1.599e+08   3e-06  0.98  1.0e-01  3.5e-05  1.0e-01  6.3e-01  2.6e-01  1.9e-03  2.6e-01
  85  T 0   1.598e+08   3e-05  0.98  1.0e-01  3.2e-05  1.0e-01  6.4e-01  2.4e-01  1.7e-03  2.4e-01
  86  T 0   1.598e+08  -3e-05  0.98  1.0e-01  2.7e-05  1.0e-01  6.3e-01  2.1e-01  1.7e-03  2.2e-01
