   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   5.388e+09   2e-02  0.00  1.0e-01  7.5e+02  1.0e+00  1.0e+00  3.6e-01  0.0e+00  0.0e+00
   1  T 0   2.625e+09  -9e-02  0.00  1.0e-01  1.6e-02  1.0e-01  7.9e+00  2.4e-01  1.0e-02  2.5e-01
   2  T 0   1.417e+09  -2e-01  0.13  1.0e-01  6.2e-03  1.0e-01  8.5e+00  2.0e-01  2.2e-03  2.0e-01
   3  T 0   9.245e+08  -2e-01  0.19  1.0e-01  2.7e-03  1.0e-01  7.6e+00  1.9e-01  1.7e-03  1.9e-01
   4  T 0   6.341e+08  -2e-01  0.34  1.0e-01  1.7e-03  1.0e-01  7.5e+00  1.9e-01  1.8e-03  1.9e-01
   5  T 0   4.989e+08  -3e-01  0.34  1.0e-01  1.2e-03  1.0e-01  6.3e+00  2.0e-01  1.8e-03  2.0e-01
   6  T 0   3.943e+08  -3e-01  0.37  1.0e-01  1.1e-03  1.0e-01  5.9e+00  2.0e-01  1.8e-03  2.0e-01
   7  T 0   3.257e+08  -4e-01  0.41  1.0e-01  8.8e-04  1.0e-01  5.1e+00  2.2e-01  1.8e-03  2.2e-01
   8  T 0   2.766e+08  -4e-01  0.61  1.0e-01  1.1e-04  1.0e-01  4.8e+00  1.9e-01  1.7e-03  2.0e-01
   9  T 0   2.644e+08  -4e-01  0.63  1.0e-01  9.8e-05  1.0e-01  2.9e+00  1.9e-01  1.8e-03  1.9e-01
  10  T 0   2.516e+08  -3e-01  0.65  1.0e-01  1.0e-04  1.0e-01  2.8e+00  2.0e-01  1.8e-03  2.0e-01
  11  T 0   2.400e+08  -3e-01  0.68  1.0e-01  8.8e-05  1.0e-01  2.5e+00  1.9e-01  1.8e-03  1.9e-01
  12  T 0   2.291e+08  -3e-01  0.72  1.0e-01  8.4e-05  1.0e-01  2.5e+00  2.0e-01  1.8e-03  2.0e-01
  13  T 0   2.210e+08  -2e-01  0.75  1.0e-01  9.1e-05  1.0e-01  2.4e+00  2.2e-01  1.8e-03  2.2e-01
  14  T 0   2.133e+08  -2e-01  0.77  1.0e-01  9.0e-05  1.0e-01  2.3e+00  2.1e-01  1.9e-03  2.1e-01
  15  T 0   2.058e+08  -1e-01  0.79  1.0e-01  8.5e-05  1.0e-01  2.3e+00  2.1e-01  1.8e-03  2.1e-01
  16  T 0   1.988e+08  -9e-02  0.81  1.0e-01  1.7e-04  1.0e-01  2.2e+00  2.1e-01  1.8e-03  2.1e-01
  17  T 0   1.926e+08  -6e-02  0.84  1.0e-01  1.7e-04  1.0e-01  2.1e+00  2.1e-01  1.8e-03  2.2e-01
