   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  28  T 1   1.635e+08  -2e-06  0.95  1.0e-01  1.0e-03  1.0e-01  1.9e+00  2.0e-01  1.8e-03  2.1e-01
  29  F 0   1.635e+08  -2e-06  0.95  1.0e-01  1.0e-03  0.0e+00  0.0e+00  2.1e-01  2.2e-03  2.1e-01
  29  F 1   1.635e+08  -2e-06  0.95  1.0e-01  1.0e-03  0.0e+00  0.0e+00  2.0e-01  1.7e-03  2.0e-01
  29  F 2   1.635e+08  -2e-06  0.95  1.0e-01  1.0e-03  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.0e-01
  29  F 3   1.635e+08  -2e-06  0.95  1.0e-01  1.0e-03  0.0e+00  0.0e+00  2.4e-01  1.5e-03  2.4e-01
  29  T 4   1.633e+08  -1e-05  0.95  1.0e-01  2.6e-03  7.9e-02  8.1e-02  2.3e-01  1.4e-03  2.3e-01
  30  T 0   1.630e+08  -9e-06  0.95  1.0e-01  1.0e-04  1.0e-01  2.0e+00  2.4e-01  2.2e-03  2.4e-01
  31  F 0   1.630e+08  -9e-06  0.95  1.0e-01  1.0e-04  0.0e+00  0.0e+00  2.1e-01  1.8e-03  2.2e-01
  31  F 1   1.630e+08  -9e-06  0.95  1.0e-01  1.0e-04  0.0e+00  0.0e+00  2.3e-01  1.5e-03  2.3e-01
  31  T 2   1.626e+08  -1e-06  0.93  1.0e-01  1.6e-04  1.0e-01  1.2e+00  2.5e-01  1.6e-03  2.5e-01
  32  T 0   1.618e+08  -9e-05  0.96  1.0e-01  1.1e-04  1.0e-01  2.0e+00  2.0e-01  2.2e-03  2.0e-01
  33  T 0   1.613e+08  -1e-05  0.96  1.0e-01  4.5e-05  1.0e-01  1.9e+00  2.3e-01  1.7e-03  2.3e-01
  34  T 0   1.613e+08  -4e-06  0.96  1.0e-01  5.0e-05  1.0e-01  1.8e+00  2.1e-01  2.0e-03  2.1e-01
  35  F 0   1.613e+08  -4e-06  0.96  1.0e-01  5.0e-05  0.0e+00  0.0e+00  2.0e-01  2.0e-03  2.0e-01
  35  F 1   1.613e+08  -4e-06  0.96  1.0e-01  5.0e-05  0.0e+00  0.0e+00  2.4e-01  1.8e-03  2.4e-01
  35  F 2   1.613e+08  -4e-06  0.96  1.0e-01  5.0e-05  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  35  T 3   1.611e+08   7e-07  0.95  1.0e-01  8.0e-05  4.8e-02  1.8e-01  2.4e-01  1.5e-03  2.4e-01
  36  F 0   1.611e+08   7e-07  0.95  1.0e-01  8.0e-05  0.0e+00  0.0e+00  2.5e-01  2.1e-03  2.5e-01
  36  F 1   1.611e+08   7e-07  0.95  1.0e-01  8.0e-05  0.0e+00  0.0e+00  2.0e-01  2.0e-03  2.0e-01
  36  T 2   1.610e+08  -6e-06  0.95  1.0e-01  3.3e-05  1.0e-01  9.3e-01  2.1e-01  1.6e-03  2.1e-01
  37  F 0   1.610e+08  -6e-06  0.95  1.0e-01  3.3e-05  0.0e+00  0.0e+00  2.3e-01  2.0e-03  2.3e-01
  37  F 1   1.610e+08  -6e-06  0.95  1.0e-01  3.3e-05  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.0e-01
  37  F 2   1.610e+08  -6e-06  0.95  1.0e-01  3.3e-05  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  37  T 3   1.609e+08  -7e-06  0.95  1.0e-01  3.1e-05  2.6e-02  1.1e-01  2.1e-01  1.4e-03  2.1e-01
  38  F 0   1.609e+08  -7e-06  0.95  1.0e-01  3.1e-05  0.0e+00  0.0e+00  2.1e-01  2.0e-03  2.1e-01
  38  F 1   1.609e+08  -7e-06  0.95  1.0e-01  3.1e-05  0.0e+00  0.0e+00  2.0e-01  1.8e-03  2.1e-01
  38  F 2   1.609e+08  -7e-06  0.95  1.0e-01  3.1e-05  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.1e-01
  38  T 3   1.609e+08  -3e-06  0.95  1.0e-01  2.8e-05  2.6e-02  9.2e-02  2.0e-01  1.3e-03  2.0e-01
  39  F 0   1.609e+08  -3e-06  0.95  1.0e-01  2.8e-05  0.0e+00  0.0e+00  2.0e-01  1.8e-03  2.1e-01
  39  F 1   1.609e+08  -3e-06  0.95  1.0e-01  2.8e-05  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  39  F 2   1.609e+08  -3e-06  0.95  1.0e-01  2.8e-05  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  39  T 3   1.608e+08  -1e-07  0.95  1.0e-01  2.6e-05  2.5e-02  8.0e-02  2.1e-01  1.3e-03  2.1e-01
  40  F 0   1.608e+08  -1e-07  0.95  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.0e-01  2.1e-03  2.0e-01
  40  F 1   1.608e+08  -1e-07  0.95  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.4e-01  1.6e-03  2.4e-01
  40  T 2   1.607e+08  -2e-05  0.95  1.0e-01  4.2e-05  1.0e-01  6.6e-01  2.8e-01  1.4e-03  2.9e-01
  41  F 0   1.607e+08  -2e-05  0.95  1.0e-01  4.2e-05  0.0e+00  0.0e+00  2.4e-01  2.0e-03  2.4e-01
  41  F 1   1.607e+08  -2e-05  0.95  1.0e-01  4.2e-05  0.0e+00  0.0e+00  2.2e-01  1.4e-03  2.2e-01
  41  T 2   1.605e+08  -2e-07  0.96  1.0e-01  2.1e-05  1.0e-01  6.2e-01  2.1e-01  1.5e-03  2.2e-01
  42  F 0   1.605e+08  -2e-07  0.96  1.0e-01  2.1e-05  0.0e+00  0.0e+00  2.8e-01  2.3e-03  2.8e-01
  42  T 1   1.605e+08  -1e-05  0.96  1.0e-01  2.9e-05  1.0e-01  1.5e+00  3.0e-01  1.6e-03  3.0e-01
  43  F 0   1.605e+08  -1e-05  0.96  1.0e-01  2.9e-05  0.0e+00  0.0e+00  2.2e-01  2.1e-03  2.3e-01
  43  F 1   1.605e+08  -1e-05  0.96  1.0e-01  2.9e-05  0.0e+00  0.0e+00  2.4e-01  1.5e-03  2.4e-01
  43  F 2   1.605e+08  -1e-05  0.96  1.0e-01  2.9e-05  0.0e+00  0.0e+00  2.8e-01  1.3e-03  2.8e-01
  43  T 3   1.604e+08   5e-07  0.95  1.0e-01  2.2e-05  2.8e-02  1.4e-01  2.6e-01  1.5e-03  2.7e-01
  44  F 0   1.604e+08   5e-07  0.95  1.0e-01  2.2e-05  0.0e+00  0.0e+00  2.7e-01  2.5e-03  2.7e-01
