   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  38  F 0   1.736e+08  -3e-06  0.96  1.0e-01  1.0e-05  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  38  T 1   1.736e+08  -6e-08  0.96  1.0e-01  5.8e-06  3.4e-02  1.5e-01  2.2e-01  1.3e-03  2.2e-01
  39  T 0   1.736e+08   2e-07  0.96  1.0e-01  5.5e-06  4.7e-02  2.5e-01  2.1e-01  1.8e-03  2.2e-01
  40  T 0   1.734e+08  -5e-07  0.96  1.0e-01  1.2e-05  1.0e-01  1.1e+00  2.7e-01  1.6e-03  2.7e-01
  41  F 0   1.734e+08  -5e-07  0.96  1.0e-01  1.2e-05  0.0e+00  0.0e+00  2.5e-01  1.6e-03  2.5e-01
  41  T 1   1.734e+08  -2e-06  0.96  1.0e-01  1.5e-05  1.0e-01  5.8e-01  2.3e-01  1.4e-03  2.3e-01
  42  T 0   1.734e+08   4e-07  0.96  1.0e-01  9.8e-06  8.0e-02  4.2e-01  2.3e-01  1.7e-03  2.3e-01
  43  T 0   1.733e+08   6e-07  0.96  1.0e-01  5.9e-06  3.0e-02  1.8e-01  3.1e-01  1.6e-03  3.1e-01
  44  T 0   1.733e+08  -1e-05  0.96  1.0e-01  6.0e-06  4.0e-02  1.8e-01  2.2e-01  1.4e-03  2.2e-01
  45  T 0   1.733e+08  -4e-07  0.97  1.0e-01  2.0e-05  1.0e-01  1.3e+00  2.2e-01  1.8e-03  2.2e-01
  46  F 0   1.733e+08  -4e-07  0.97  1.0e-01  2.0e-05  0.0e+00  0.0e+00  2.1e-01  1.9e-03  2.1e-01
  46  T 1   1.732e+08  -1e-06  0.96  1.0e-01  8.6e-06  9.7e-02  4.4e-01  2.2e-01  1.4e-03  2.2e-01
  47  T 0   1.731e+08  -6e-07  0.96  1.0e-01  6.3e-06  3.2e-02  1.5e-01  2.3e-01  1.7e-03  2.3e-01
  48  T 0   1.731e+08   3e-08  0.96  1.0e-01  6.1e-06  7.5e-02  3.0e-01  2.1e-01  1.6e-03  2.1e-01
  49  F 0   1.731e+08   3e-08  0.96  1.0e-01  6.1e-06  0.0e+00  0.0e+00  2.4e-01  1.7e-03  2.5e-01
  49  T 1   1.730e+08  -1e-06  0.97  1.0e-01  5.1e-06  9.2e-02  4.4e-01  2.3e-01  1.4e-03  2.3e-01
  50  F 0   1.730e+08  -1e-06  0.97  1.0e-01  5.1e-06  0.0e+00  0.0e+00  2.1e-01  1.6e-03  2.1e-01
  50  T 1   1.730e+08  -4e-08  0.97  1.0e-01  5.1e-06  5.1e-02  2.8e-01  2.2e-01  1.6e-03  2.2e-01
  51  T 0   1.730e+08  -2e-07  0.96  1.0e-01  9.1e-06  6.1e-02  3.8e-01  2.1e-01  1.6e-03  2.1e-01
  52  T 0   1.730e+08   6e-07  0.96  1.0e-01  9.2e-06  7.5e-02  3.9e-01  2.0e-01  1.5e-03  2.0e-01
  53  T 0   1.729e+08  -3e-08  0.96  1.0e-01  6.5e-06  4.9e-02  2.6e-01  2.1e-01  1.7e-03  2.1e-01
  54  T 0   1.729e+08  -1e-08  0.96  1.0e-01  4.4e-06  2.3e-02  1.4e-01  2.1e-01  1.6e-03  2.1e-01
  55  T 0   1.729e+08  -2e-05  0.97  1.0e-01  4.6e-06  5.5e-02  2.8e-01  2.1e-01  1.5e-03  2.1e-01
  56  F 0   1.729e+08  -2e-05  0.97  1.0e-01  4.6e-06  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  56  T 1   1.729e+08   2e-05  0.97  1.0e-01  4.8e-06  5.5e-02  2.8e-01  2.1e-01  1.2e-03  2.1e-01
  57  F 0   1.729e+08   2e-05  0.97  1.0e-01  4.8e-06  0.0e+00  0.0e+00  2.7e-01  1.6e-03  2.7e-01
  57  T 1   1.729e+08  -2e-07  0.97  1.0e-01  4.7e-06  1.4e-02  7.9e-02  2.0e-01  1.4e-03  2.1e-01
  58  T 0   1.728e+08  -3e-07  0.97  1.0e-01  4.9e-06  5.7e-02  2.8e-01  2.2e-01  1.6e-03  2.3e-01
  59  F 0   1.728e+08  -3e-07  0.97  1.0e-01  4.9e-06  0.0e+00  0.0e+00  2.4e-01  1.3e-03  2.5e-01
  59  T 1   1.728e+08  -5e-06  0.97  1.0e-01  4.9e-06  4.3e-02  2.1e-01  2.1e-01  9.6e-04  2.1e-01
  60  T 0   1.728e+08  -3e-07  0.97  1.0e-01  1.1e-05  1.0e-01  5.7e-01  2.2e-01  1.6e-03  2.3e-01
  61  F 0   1.728e+08  -3e-07  0.97  1.0e-01  1.1e-05  0.0e+00  0.0e+00  2.5e-01  1.6e-03  2.6e-01
  61  T 1   1.727e+08  -4e-05  0.96  1.0e-01  5.5e-06  2.4e-02  1.2e-01  2.2e-01  1.2e-03  2.3e-01
  62  T 0   1.727e+08   3e-07  0.97  1.0e-01  5.2e-06  2.6e-02  1.5e-01  2.4e-01  1.7e-03  2.4e-01
  63  T 0   1.727e+08   4e-09  0.97  1.0e-01  5.2e-06  3.8e-02  1.6e-01  2.1e-01  1.7e-03  2.1e-01
  64  F 0   1.727e+08   4e-09  0.97  1.0e-01  5.2e-06  0.0e+00  0.0e+00  2.1e-01  1.8e-03  2.1e-01
  64  T 1   1.726e+08  -2e-07  0.97  1.0e-01  5.3e-06  1.0e-01  6.0e-01  2.2e-01  1.4e-03  2.2e-01
  65  F 0   1.726e+08  -2e-07  0.97  1.0e-01  5.3e-06  0.0e+00  0.0e+00  2.4e-01  1.7e-03  2.4e-01
  65  F 1   1.726e+08  -2e-07  0.97  1.0e-01  5.3e-06  0.0e+00  0.0e+00  2.7e-01  1.4e-03  2.7e-01
  65  T 2   1.726e+08   1e-05  0.97  1.0e-01  5.0e-06  1.7e-02  8.3e-02  2.1e-01  1.2e-03  2.1e-01
  66  T 0   1.726e+08   6e-07  0.97  1.0e-01  4.6e-06  4.8e-02  2.0e-01  3.0e-01  1.4e-03  3.1e-01
  67  F 0   1.726e+08   6e-07  0.97  1.0e-01  4.6e-06  0.0e+00  0.0e+00  3.0e-01  1.8e-03  3.1e-01
  67  T 1   1.726e+08   3e-06  0.97  1.0e-01  3.8e-06  3.8e-02  2.0e-01  2.6e-01  1.3e-03  2.6e-01
  68  F 0   1.726e+08   3e-06  0.97  1.0e-01  3.8e-06  0.0e+00  0.0e+00  2.3e-01  1.7e-03  2.3e-01
  68  T 1   1.726e+08   3e-08  0.97  1.0e-01  3.9e-06  2.5e-02  1.4e-01  3.0e-01  1.4e-03  3.0e-01
  69  T 0   1.725e+08  -3e-07  0.97  1.0e-01  6.5e-06  1.0e-01  6.9e-01  2.6e-01  2.0e-03  2.6e-01
  70  F 0   1.725e+08  -3e-07  0.97  1.0e-01  6.5e-06  0.0e+00  0.0e+00  2.5e-01  1.7e-03  2.5e-01
  70  T 1   1.725e+08   1e-07  0.97  1.0e-01  9.7e-06  6.7e-02  3.7e-01  2.2e-01  1.5e-03  2.3e-01
  71  F 0   1.725e+08   1e-07  0.97  1.0e-01  9.7e-06  0.0e+00  0.0e+00  2.2e-01  1.6e-03  2.2e-01
  71  T 1   1.725e+08  -2e-05  0.97  1.0e-01  8.2e-06  5.5e-03  3.0e-02  2.1e-01  1.2e-03  2.2e-01
  72  T 0   1.725e+08   1e-06  0.97  1.0e-01  4.1e-06  3.5e-02  1.9e-01  2.2e-01  1.6e-03  2.2e-01
  73  T 0   1.725e+08   1e-07  0.97  1.0e-01  3.9e-06  1.9e-02  9.5e-02  2.6e-01  1.6e-03  2.6e-01
  74  T 0   1.724e+08   4e-06  0.97  1.0e-01  7.8e-06  1.0e-01  1.1e+00  3.0e-01  1.9e-03  3.0e-01
  75  F 0   1.724e+08   4e-06  0.97  1.0e-01  7.8e-06  0.0e+00  0.0e+00  2.1e-01  1.6e-03  2.1e-01
  75  F 1   1.724e+08   4e-06  0.97  1.0e-01  7.8e-06  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  75  T 2   1.724e+08   7e-08  0.97  1.0e-01  6.3e-06  1.3e-02  8.2e-02  1.9e-01  1.1e-03  1.9e-01
  76  T 0   1.724e+08   7e-08  0.97  1.0e-01  5.6e-06  3.3e-02  1.7e-01  2.2e-01  1.7e-03  2.2e-01
  77  T 0   1.723e+08   3e-08  0.97  1.0e-01  5.6e-06  4.3e-02  1.7e-01  2.1e-01  1.7e-03  2.2e-01
  78  F 0   1.723e+08   3e-08  0.97  1.0e-01  5.6e-06  0.0e+00  0.0e+00  2.2e-01  1.6e-03  2.2e-01
  78  T 1   1.723e+08   2e-05  0.97  1.0e-01  5.4e-06  2.7e-02  1.0e-01  2.2e-01  1.2e-03  2.2e-01
  79  T 0   1.722e+08  -8e-07  0.97  1.0e-01  5.9e-06  1.0e-01  8.4e-01  2.2e-01  1.6e-03  2.2e-01
  80  F 0   1.722e+08  -8e-07  0.97  1.0e-01  5.9e-06  0.0e+00  0.0e+00  2.2e-01  1.9e-03  2.2e-01
