   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  43  T 0   2.408e+06   3e-06  0.96  1.0e-01  2.4e-05  5.4e-02  2.2e-01  1.7e-01  1.4e-03  1.8e-01
  44  T 0   2.406e+06   4e-07  0.97  1.0e-01  1.3e-05  1.5e-02  5.7e-02  1.6e-01  1.3e-02  1.7e-01
  45  T 0   2.405e+06   4e-06  0.98  1.0e-01  5.7e-06  2.9e-02  9.3e-02  1.9e-01  1.2e-03  1.9e-01
  46  T 0   2.404e+06  -2e-07  0.98  1.0e-01  4.1e-06  8.8e-02  2.8e-01  1.7e-01  1.4e-03  1.7e-01
  47  F 0   2.406e+06   2e-06  0.99  1.0e-01  2.0e-05  1.0e-01  4.4e-01  1.7e-01  1.4e-03  1.7e-01
  48  F 0   2.412e+06  -8e-07  0.98  1.0e-01  4.4e-05  1.0e-01  4.9e-01  1.7e-01  1.5e-03  1.7e-01
  49  F 0   2.406e+06  -1e-07  0.96  1.0e-01  4.0e-05  9.3e-02  3.6e-01  1.6e-01  1.6e-03  1.6e-01
  50  T 0   2.404e+06   4e-07  0.98  1.0e-01  8.7e-06  4.1e-02  1.2e-01  1.6e-01  1.4e-03  1.6e-01
  51  T 0   2.403e+06  -6e-10  0.98  1.0e-01  3.6e-06  9.5e-03  3.3e-02  1.6e-01  1.2e-03  1.6e-01
  52  T 0   2.403e+06  -6e-06  0.99  1.0e-01  1.1e-06  3.5e-02  1.4e-01  1.7e-01  1.2e-03  1.7e-01
  53  T 0   2.403e+06  -1e-05  0.99  1.0e-01  1.4e-06  3.7e-02  1.1e-01  2.0e-01  1.2e-03  2.0e-01
  54  F 0   2.405e+06  -8e-06  0.99  1.0e-01  1.8e-05  1.0e-01  3.7e-01  1.9e-01  1.4e-03  2.0e-01
  55  F 0   2.410e+06  -2e-07  0.98  1.0e-01  4.0e-05  1.0e-01  4.9e-01  1.6e-01  1.5e-03  1.6e-01
  56  F 0   2.405e+06  -6e-08  0.97  1.0e-01  3.8e-05  9.5e-02  3.4e-01  1.6e-01  1.5e-03  1.7e-01
  57  F 0   2.403e+06   4e-07  0.98  1.0e-01  9.3e-06  4.1e-02  1.1e-01  1.7e-01  1.3e-03  1.8e-01
  58  T 0   2.403e+06  -3e-07  0.98  1.0e-01  3.8e-06  9.1e-03  2.9e-02  1.6e-01  1.2e-03  1.6e-01
  59  T 0   2.402e+06   1e-06  0.99  1.0e-01  2.2e-06  5.0e-02  1.7e-01  1.8e-01  1.3e-03  1.8e-01
  60  F 0   2.403e+06  -4e-06  0.99  1.0e-01  8.0e-06  3.7e-02  1.3e-01  1.8e-01  1.2e-03  1.9e-01
  61  T 0   2.402e+06  -9e-06  0.99  1.0e-01  5.8e-06  4.2e-02  1.2e-01  1.7e-01  1.2e-03  1.7e-01
  62  T 0   2.402e+06  -9e-06  0.99  1.0e-01  1.0e-06  1.4e-02  4.1e-02  1.6e-01  1.2e-03  1.6e-01
  63  T 0   2.402e+06  -8e-11  0.99  1.0e-01  7.5e-07  3.1e-03  9.7e-03  1.7e-01  1.2e-03  1.8e-01
  64  T 0   2.402e+06   2e-06  0.99  1.0e-01  1.1e-06  3.1e-02  9.0e-02  3.3e-01  1.3e-03  3.3e-01
  65  F 0   2.404e+06  -1e-06  0.99  1.0e-01  2.0e-05  1.0e-01  4.6e-01  2.4e-01  1.5e-03  2.4e-01
  66  F 0   2.415e+06   3e-06  0.98  1.0e-01  5.2e-05  1.0e-01  5.7e-01  2.1e-01  1.4e-03  2.1e-01
  67  F 0   2.409e+06  -2e-06  0.96  1.0e-01  5.4e-05  1.0e-01  4.3e-01  2.3e-01  1.5e-03  2.3e-01
  68  F 0   2.403e+06   3e-07  0.97  1.0e-01  1.7e-05  5.2e-02  1.7e-01  1.5e-01  1.3e-03  1.6e-01
  69  F 0   2.402e+06  -4e-06  0.98  1.0e-01  8.2e-06  1.3e-02  3.8e-02  2.0e-01  1.1e-03  2.0e-01
  70  T 0   2.402e+06  -9e-06  0.98  1.0e-01  3.1e-06  3.0e-02  8.4e-02  2.1e-01  1.3e-03  2.1e-01
  71  T 0   2.402e+06  -3e-08  0.99  1.0e-01  1.7e-06  7.5e-02  1.9e-01  1.7e-01  1.4e-03  1.7e-01
  72  T 0   2.402e+06  -1e-05  0.99  1.0e-01  3.7e-06  4.6e-02  1.5e-01  1.7e-01  1.2e-03  1.7e-01
  73  F 0   2.402e+06   2e-06  0.99  1.0e-01  1.1e-05  5.9e-02  1.8e-01  2.0e-01  1.4e-03  2.0e-01
  74  T 0   2.402e+06  -7e-07  0.98  1.0e-01  7.4e-06  5.0e-02  1.5e-01  2.6e-01  4.0e-03  2.6e-01
  75  T 0   2.402e+06  -1e-06  0.99  1.0e-01  1.4e-06  2.0e-02  4.4e-02  2.6e-01  1.4e-03  2.6e-01
  76  T 0   2.401e+06  -8e-07  0.99  1.0e-01  1.0e-06  4.7e-03  1.7e-02  2.1e-01  1.3e-03  2.2e-01
  77  T 0   2.401e+06  -2e-09  0.99  1.0e-01  1.0e-06  2.0e-02  5.8e-02  2.3e-01  1.2e-03  2.4e-01
  78  F 0   2.402e+06  -6e-05  0.99  1.0e-01  1.3e-05  1.0e-01  6.0e-01  2.6e-01  1.4e-03  2.6e-01
  79  F 0   2.412e+06  -4e-06  0.99  1.0e-01  4.0e-05  1.0e-01  6.2e-01  2.2e-01  1.9e-03  2.3e-01
  80  F 0   2.412e+06  -3e-07  0.96  1.0e-01  6.0e-05  1.0e-01  5.4e-01  1.9e-01  1.5e-03  1.9e-01
  81  F 0   2.403e+06  -8e-08  0.97  1.0e-01  2.7e-05  7.1e-02  2.6e-01  2.2e-01  1.3e-03  2.2e-01
  82  T 0   2.401e+06   3e-07  0.98  1.0e-01  1.5e-05  2.4e-02  8.0e-02  1.6e-01  1.2e-03  1.6e-01
  83  T 0   2.401e+06  -5e-06  0.98  1.0e-01  7.1e-06  1.8e-02  3.7e-02  1.7e-01  1.2e-03  1.7e-01
  84  T 0   2.400e+06  -1e-06  0.99  1.0e-01  2.8e-06  1.0e-01  3.2e-01  1.6e-01  1.2e-03  1.6e-01
  85  F 0   2.402e+06  -2e-06  0.99  1.0e-01  1.9e-05  9.7e-02  3.3e-01  1.5e-01  1.2e-03  1.5e-01
  86  F 0   2.401e+06   7e-06  0.98  1.0e-01  2.5e-05  1.0e-01  3.3e-01  1.5e-01  1.5e-03  1.5e-01
  87  T 0   2.400e+06  -2e-06  0.98  1.0e-01  8.3e-06  4.4e-02  1.4e-01  1.5e-01  1.1e-03  1.5e-01
  88  T 0   2.400e+06   1e-08  0.98  1.0e-01  2.1e-06  1.6e-02  3.6e-02  1.4e-01  1.1e-03  1.5e-01
  89  T 0   2.400e+06  -6e-07  0.99  1.0e-01  1.5e-06  9.6e-03  2.9e-02  1.5e-01  1.1e-03  1.5e-01
  90  T 0   2.400e+06  -5e-08  0.99  1.0e-01  2.2e-06  1.0e-01  3.2e-01  1.5e-01  1.2e-03  1.5e-01
  91  F 0   2.400e+06  -5e-06  0.99  1.0e-01  6.8e-06  1.0e-01  5.0e-01  1.6e-01  1.1e-03  1.6e-01
  92  F 0   2.400e+06  -5e-07  0.99  1.0e-01  8.0e-06  1.0e-01  4.2e-01  1.5e-01  1.3e-03  1.5e-01
  93  F 0   2.401e+06  -5e-07  0.99  1.0e-01  2.0e-05  8.9e-02  3.0e-01  1.5e-01  1.3e-03  1.5e-01
  94  T 0   2.399e+06   4e-06  0.98  1.0e-01  1.8e-05  7.6e-02  2.3e-01  1.4e-01  1.2e-03  1.4e-01
  95  T 0   2.399e+06  -5e-06  0.98  1.0e-01  2.6e-06  2.8e-02  6.0e-02  1.6e-01  1.2e-03  1.7e-01
  96  T 0   2.399e+06  -2e-06  0.99  1.0e-01  1.3e-06  6.0e-03  1.9e-02  1.6e-01  1.2e-03  1.6e-01
  97  T 0   2.399e+06  -3e-06  0.99  1.0e-01  1.0e-06  4.3e-02  1.2e-01  2.4e-01  1.4e-03  2.4e-01
  98  F 0   2.402e+06  -1e-07  0.99  1.0e-01  2.7e-05  1.0e-01  4.4e-01  2.4e-01  1.2e-03  2.4e-01
  99  F 0   2.402e+06   2e-06  0.98  1.0e-01  3.3e-05  1.0e-01  4.4e-01  2.0e-01  1.4e-03  2.1e-01
 100  F 0   2.399e+06  -7e-07  0.98  1.0e-01  1.9e-05  7.1e-02  2.3e-01  1.9e-01  1.4e-03  1.9e-01
