   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  42  T 0   2.461e+06   2e-05  0.97  1.0e-01  8.2e-05  1.0e-01  3.2e-01  1.7e-01  1.4e-03  1.7e-01
  43  T 0   2.458e+06  -2e-07  0.97  1.0e-01  2.0e-04  1.0e-01  3.0e-01  1.6e-01  2.2e-03  1.6e-01
  44  T 0   2.453e+06  -4e-08  0.97  1.0e-01  9.7e-05  1.0e-01  2.8e-01  1.9e-01  1.4e-03  1.9e-01
  45  T 0   2.450e+06   5e-06  0.97  1.0e-01  1.5e-04  1.0e-01  2.3e-01  1.6e-01  1.6e-03  1.6e-01
  46  T 0   2.448e+06   9e-06  0.98  1.0e-01  4.2e-05  1.0e-01  2.4e-01  1.7e-01  1.6e-03  1.7e-01
  47  T 0   2.447e+06   1e-06  0.98  1.0e-01  4.8e-05  1.0e-01  2.0e-01  1.7e-01  1.6e-03  1.7e-01
  48  T 0   2.444e+06   1e-06  0.98  1.0e-01  5.7e-05  1.0e-01  2.0e-01  1.6e-01  1.6e-03  1.6e-01
  49  T 0   2.442e+06  -2e-08  0.98  1.0e-01  1.2e-04  9.4e-02  1.9e-01  2.0e-01  1.7e-03  2.1e-01
  50  T 0   2.438e+06  -5e-07  0.98  1.0e-01  2.7e-05  7.8e-02  1.5e-01  2.3e-01  1.6e-03  2.3e-01
  51  T 0   2.437e+06  -1e-08  0.98  1.0e-01  3.4e-05  9.2e-02  1.6e-01  1.8e-01  1.7e-03  1.8e-01
  52  T 0   2.435e+06  -1e-07  0.98  1.0e-01  4.0e-05  9.8e-02  1.5e-01  1.6e-01  1.6e-03  1.6e-01
  53  T 0   2.434e+06  -1e-06  0.98  1.0e-01  5.6e-05  1.0e-01  2.3e-01  1.7e-01  1.5e-03  1.7e-01
  54  T 0   2.432e+06  -1e-05  0.98  1.0e-01  8.4e-05  9.2e-02  2.0e-01  2.1e-01  1.7e-03  2.1e-01
  55  T 0   2.431e+06   2e-05  0.98  1.0e-01  1.8e-05  8.9e-02  1.7e-01  1.5e-01  1.6e-03  1.6e-01
  56  T 0   2.430e+06  -3e-06  0.98  1.0e-01  1.9e-05  9.8e-02  1.5e-01  1.6e-01  1.6e-03  1.7e-01
  57  T 0   2.430e+06   2e-05  0.98  1.0e-01  2.2e-05  9.5e-02  1.6e-01  1.6e-01  1.7e-03  1.7e-01
  58  T 0   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  1.0e-01  1.7e-01  1.7e-01  1.5e-03  1.7e-01
  59  F 0   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.7e-03  1.6e-01
  59  F 1   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.4e-03  1.7e-01
  59  F 2   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.8e-01  1.3e-03  1.8e-01
  59  F 3   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.7e-01  1.3e-03  1.7e-01
  59  F 4   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.7e-01  1.3e-03  1.8e-01
  59  F 5   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.3e-03  1.6e-01
  59  F 6   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.3e-03  1.6e-01
  59  F 7   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.3e-03  1.6e-01
  59  F 8   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.3e-03  1.6e-01
  59  F 9   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.3e-03  1.6e-01
  59  F10   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.7e-01  1.3e-03  1.7e-01
  59  F11   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.7e-01  1.3e-03  1.7e-01
  59  F12   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.1e-01
  59  F13   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.0e-01
  59  F14   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  59  F15   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  2.2e-01  1.2e-03  2.2e-01
  59  F16   2.429e+06  -5e-07  0.98  1.0e-01  2.6e-05  0.0e+00  0.0e+00  1.6e-01  1.2e-03  1.6e-01
Enforced Termination; excessive conservatism
Total number of system evaluations: 77
